tid,mjd,fid,diffmaglim
ztf,58749.111805600114,2,19.7146
ztf,58761.11909720022,2,19.8647
ztf,58765.11942130001,2,19.722
ztf,58768.11887730006,2,19.2506
ztf,58775.09347219998,2,19.662
ztf,58775.11350690015,1,19.526
ztf,58852.56184029998,2,19.9725
ztf,58861.50717590004,1,18.7125
ztf,58873.537766200025,2,20.4569
ztf,58876.56054400001,2,20.5351
ztf,58879.54422450019,2,19.7096
ztf,58885.5425809999,2,20.2204
ztf,58888.509340300225,2,19.0869
ztf,58894.52751159994,2,20.0355
ztf,58898.53874999983,2,20.4799
ztf,58904.5228587999,2,20.277
ztf,58911.51778940018,2,20.1913
ztf,58936.44211809989,2,20.5019
ztf,58939.432141200174,2,19.071
ztf,58943.499259300064,2,20.4305
ztf,58953.44008099986,2,20.2521
ztf,58956.33762730006,2,20.2304
ztf,58965.33431709977,2,20.5673
ztf,58968.41133099981,2,20.7778
ztf,58971.41702549998,2,20.5791
ztf,58972.372233800124,2,20.3357
ztf,58974.337534700055,2,19.7288
ztf,58977.3995949002,2,18.5925
ztf,58980.309456000105,2,20.1125
ztf,58984.4025347,2,20.5458
ztf,58985.37954859994,2,20.6356
ztf,58986.310347199906,2,20.5085
ztf,58987.333460600115,2,20.8471
ztf,58991.289166700095,2,20.5783
ztf,58992.271840299945,2,20.615
ztf,58993.29861109983,2,20.5679
ztf,58994.3108333,2,20.674
ztf,58995.289803199936,2,20.6199
ztf,58996.27273150021,2,20.6074
ztf,58997.2957870001,2,20.6539
ztf,58998.2621065001,2,20.6042
ztf,58998.294178199954,2,20.6829
ztf,58999.24646990001,1,19.9203
ztf,58999.33767359983,2,20.4786
ztf,59000.359270799905,2,16.8747
ztf,59001.27505790023,2,20.1363
ztf,59004.26935190009,2,19.46
ztf,59005.265625,2,19.3143
ztf,59008.31805559993,2,19.92
ztf,59011.25696759997,2,20.6263
ztf,59014.23620369984,2,20.5802
ztf,59017.25749999983,2,20.7276
ztf,59020.268923600204,2,20.7052
ztf,59023.19701390015,2,20.5907
ztf,59024.24680559989,2,20.6191
ztf,59026.288935199846,2,20.1741
ztf,59032.24734950019,2,19.8743
ztf,59032.361226900015,1,19.5626
ztf,59035.31685189996,2,19.5238
ztf,59038.21128469985,2,20.4267
ztf,59041.23210649984,2,20.6247
ztf,59044.2113541998,2,20.636
ztf,59047.21386570018,2,20.7334
ztf,59050.29004629981,2,20.4694
ztf,59054.19375000009,2,20.5997
ztf,59057.17012730008,2,20.3783
ztf,59200.55623839982,2,18.701
ztf,59200.560972199775,2,18.6759
ztf,59200.5657060002,2,17.9203
ztf,59200.570439800154,2,17.6881
ztf,59201.5587847,2,19.6793
ztf,59201.56740739988,2,19.2468
ztf,59202.55608800007,2,19.3526
ztf,59202.56078700023,2,19.5638
ztf,59202.56548610004,2,19.3337
ztf,59202.570185199846,2,18.9871
ztf,59202.57488430012,2,18.2655
ztf,59203.55664349999,2,19.6216
ztf,59203.56135419989,2,19.5123
ztf,59203.56605320005,2,19.3939
ztf,59203.57075229986,2,19.0688
ztf,59203.57543980004,2,18.4312
ztf,59204.56693289988,2,19.9416
ztf,59204.5693518999,2,19.7968
ztf,59204.57175929984,2,19.7455
ztf,59204.574178200215,2,19.4877
ztf,59206.56798609998,2,15.7486
ztf,59219.51723380014,2,19.3247
ztf,59221.55432870006,2,19.3602
ztf,59224.51731480006,2,19.9549
ztf,59227.55444440013,2,20.108
ztf,59249.5055670999,2,19.9943
ztf,59253.50805559987,2,20.4659
ztf,59256.45540509978,2,20.268
ztf,59260.5070369998,1,16.2528
ztf,59264.52520829998,2,20.282
ztf,59266.52577550011,2,19.9482
ztf,59268.452893500216,2,20.169
ztf,59270.520659700036,2,19.833
ztf,59272.467997699976,2,19.4024
ztf,59278.483344899956,2,20.0001
ztf,59282.50724539999,2,20.4574
ztf,59297.405509300064,2,19.8191
ztf,59301.4208217999,2,19.2052
ztf,59301.46049770014,1,19.0996
ztf,59303.39038190013,1,19.4099
ztf,59303.42770829983,2,19.5385
ztf,59306.47467589984,2,20.1791
ztf,59308.43754629977,2,20.4923
ztf,59310.44239579979,2,20.3218
ztf,59312.4004861,2,20.3987
ztf,59315.44232639996,2,19.1942
ztf,59317.4349769,2,20.6376
ztf,59322.30824070005,2,20.2593
ztf,59324.276157400105,2,20.1064
ztf,59328.311701400205,2,19.7083
ztf,59334.358298600186,2,19.8936
